date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:53	15186/15186	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2b35d-3b52%22	https://key.visualarts.gr.jp/primadoll/novel_03.html	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/novel_03.html	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:53	22461/22461	---M--	200	added ('OK')	image/jpeg	etag:%2261f2b368-57bd%22	https://key.visualarts.gr.jp/primadoll/common/image/novel_thum03.jpg	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/image/novel_thum03.jpg	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:54	14534/14534	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2b35c-38c6%22	https://key.visualarts.gr.jp/primadoll/novel_04.html	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/novel_04.html	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:54	24404/24404	---M--	200	added ('OK')	image/jpeg	etag:%2261f2b369-5f54%22	https://key.visualarts.gr.jp/primadoll/common/image/novel_thum04.jpg	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/image/novel_thum04.jpg	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:54	14917/14917	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2b35c-3a45%22	https://key.visualarts.gr.jp/primadoll/novel_05.html	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/novel_05.html	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:54	23327/23327	---M--	200	added ('OK')	image/jpeg	etag:%2261f2b369-5b1f%22	https://key.visualarts.gr.jp/primadoll/common/image/novel_thum05.jpg	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/image/novel_thum05.jpg	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:55	8860/8860	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2b35c-229c%22	https://key.visualarts.gr.jp/primadoll/novel_06.html	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/novel_06.html	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:55	19755/19755	---M--	200	added ('OK')	image/jpeg	etag:%2261f2b369-4d2b%22	https://key.visualarts.gr.jp/primadoll/common/image/novel_thum06.jpg	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/image/novel_thum06.jpg	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:55	16350/16350	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2b35c-3fde%22	https://key.visualarts.gr.jp/primadoll/novel_07.html	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/novel_07.html	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:56	21552/21552	---M--	200	added ('OK')	image/jpeg	etag:%2261f2b369-5430%22	https://key.visualarts.gr.jp/primadoll/common/image/novel_thum07.jpg	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/image/novel_thum07.jpg	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:56	12803/12803	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2b35c-3203%22	https://key.visualarts.gr.jp/primadoll/novel_08.html	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/novel_08.html	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:56	24466/24466	---M--	200	added ('OK')	image/jpeg	etag:%2261f2b369-5f92%22	https://key.visualarts.gr.jp/primadoll/common/image/novel_thum08.jpg	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/image/novel_thum08.jpg	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:56	25740/25740	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2b35c-648c%22	https://key.visualarts.gr.jp/primadoll/novel_09.html	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/novel_09.html	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:57	22774/22774	---M--	200	added ('OK')	image/jpeg	etag:%2261f2b369-58f6%22	https://key.visualarts.gr.jp/primadoll/common/image/novel_thum09.jpg	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/image/novel_thum09.jpg	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:57	21285/21285	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2b35c-5325%22	https://key.visualarts.gr.jp/primadoll/novel_10.html	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/novel_10.html	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:57	21923/21923	---M--	200	added ('OK')	image/jpeg	etag:%2261f2b369-55a3%22	https://key.visualarts.gr.jp/primadoll/common/image/novel_thum10.jpg	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/image/novel_thum10.jpg	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:57	27491/27491	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2b35c-6b63%22	https://key.visualarts.gr.jp/primadoll/novel_11.html	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/novel_11.html	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:58	21789/21789	---M--	200	added ('OK')	image/jpeg	etag:%2261f2b369-551d%22	https://key.visualarts.gr.jp/primadoll/common/image/novel_thum11.jpg	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/image/novel_thum11.jpg	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:58	13595/13595	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2b35c-351b%22	https://key.visualarts.gr.jp/primadoll/novel_12.html	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/novel_12.html	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:58	21723/21723	---M--	200	added ('OK')	image/jpeg	etag:%2261f2b369-54db%22	https://key.visualarts.gr.jp/primadoll/common/image/novel_thum12.jpg	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/image/novel_thum12.jpg	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:59	24170/24170	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2b35c-5e6a%22	https://key.visualarts.gr.jp/primadoll/novel_13.html	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/novel_13.html	(from https://key.visualarts.gr.jp/primadoll/novel.html)
22:22:59	24090/24090	---M--	200	added ('OK')	image/jpeg	etag:%2261f2b369-5e1a%22	https://key.visualarts.gr.jp/primadoll/common/image/novel_thum13.jpg	C:/Mes%20Sites%20Web/primadoll/key.visualarts.gr.jp/primadoll/common/image/novel_thum13.jpg	(from https://key.visualarts.gr.jp/primadoll/novel.html)
